tests_id,excTimeJava,excTimeCpp,,avgJava,avg Cpp
1,2541,1857,,2543,1860
2,2540,1858,,,
3,2541,1858,,,
4,2544,1857,,,
5,2544,1856,,,
6,2540,1857,,,
7,2540,1857,,,
8,2541,1858,,,
9,2541,1858,,,
10,2542,1864,,,
11,2542,1862,,,
12,2541,1913,,,
13,2543,1862,,,
14,2541,1863,,,
15,2541,1863,,,
16,2540,1862,,,
17,2541,1861,,,
18,2543,1858,,,
19,2543,1859,,,
20,2542,1857,,,
21,2544,1858,,,
22,2543,1859,,,
23,2541,1860,,,
24,2540,1860,,,
25,2541,1859,,,
26,2539,1857,,,
27,2542,1858,,,
28,2542,1857,,,
29,2544,1857,,,
30,2546,1865,,,
31,2545,1861,,,
32,2543,1860,,,
33,2542,1863,,,
34,2590,1861,,,
35,2548,1861,,,
36,2545,1858,,,
37,2548,1857,,,
38,2547,1858,,,
39,2544,1857,,,
40,2540,1857,,,
41,2542,1856,,,
42,2542,1856,,,
43,2540,1856,,,
44,2542,1857,,,
45,2542,1858,,,
46,2542,1857,,,
47,2545,1856,,,
48,2542,1859,,,
49,2542,1858,,,
50,2542,1860,,,
51,2541,1862,,,
52,2542,1863,,,
53,2543,1862,,,
54,2542,1862,,,
55,2543,1862,,,
56,2544,1861,,,
57,2543,1858,,,
58,2542,1858,,,
59,2542,1860,,,
60,2542,1860,,,
61,2540,1859,,,
62,2542,1856,,,
63,2541,1857,,,
64,2542,1855,,,
65,2545,1857,,,
66,2544,1857,,,
67,2601,1857,,,
68,2548,1856,,,
69,2546,1858,,,
70,2546,1858,,,
71,2546,1866,,,
72,2541,1865,,,
73,2544,1863,,,
74,2546,1862,,,
75,2545,1861,,,
76,2546,1864,,,
77,2543,1858,,,
78,2541,1857,,,
79,2541,1858,,,
80,2541,1903,,,
81,2542,1865,,,
82,2541,1858,,,
83,2540,1861,,,
84,2544,1861,,,
85,2547,1863,,,
86,2540,1858,,,
87,2542,1858,,,
88,2541,1857,,,
89,2542,1858,,,
90,2540,1856,,,
91,2542,1862,,,
92,2542,1863,,,
93,2543,1862,,,
94,2543,1861,,,
95,2540,1873,,,
96,2542,1866,,,
97,2543,1860,,,
98,2544,1859,,,
99,2542,1857,,,
100,2547,1857,,,
101,2578,1857,,,
102,2549,1857,,,
103,2548,1858,,,
104,2546,1857,,,
105,2541,1858,,,
106,2541,1860,,,
107,2540,1860,,,
108,2541,1861,,,
109,2540,1860,,,
110,2541,1858,,,
111,2541,1864,,,
112,2544,1861,,,
113,2544,1861,,,
114,2542,1861,,,
115,2540,1861,,,
116,2541,1862,,,
117,2540,1857,,,
118,2540,1858,,,
119,2542,1861,,,
120,2542,1860,,,
121,2544,1859,,,
122,2544,1859,,,
123,2543,1858,,,
124,2541,1857,,,
125,2541,1858,,,
126,2540,1858,,,
127,2541,1858,,,
128,2539,1856,,,
129,2540,1858,,,
130,2540,1857,,,
131,2542,1866,,,
132,2542,1864,,,
133,2546,1865,,,
134,2542,1862,,,
135,2541,1861,,,
136,2542,1860,,,
137,2543,1857,,,
138,2542,1857,,,
139,2541,1858,,,
140,2540,1859,,,
141,2541,1859,,,
142,2545,1859,,,
143,2543,1859,,,
144,2542,1862,,,
145,2594,1860,,,
146,2546,1858,,,
147,2546,1909,,,
148,2546,1861,,,
149,2542,1861,,,
