test_id,excTimeJava,excTimeCpp,,results__avg,avgCpp
1,1603,1507,,1605,1516
2,1604,1506,,,
3,1604,1515,,,
4,1604,1513,,,
5,1603,1508,,,
6,1601,1515,,,
7,1604,1511,,,
8,1602,1797,,,
9,1602,1512,,,
10,1602,1510,,,
11,1605,1526,,,
12,1606,1519,,,
13,1602,1521,,,
14,1602,1517,,,
15,1601,1513,,,
16,1603,1511,,,
17,1603,1508,,,
18,1603,1511,,,
19,1605,1511,,,
20,1605,1515,,,
21,1602,1507,,,
22,1602,1510,,,
23,1602,1508,,,
24,1602,1510,,,
25,1602,1508,,,
26,1603,1519,,,
27,1605,1524,,,
28,1606,1518,,,
29,1600,1521,,,
30,1601,1516,,,
31,1603,1514,,,
32,1602,1515,,,
33,1604,1510,,,
34,1602,1513,,,
35,1604,1513,,,
36,1605,1511,,,
37,1602,1508,,,
38,1602,1509,,,
39,1602,1514,,,
40,1600,1510,,,
41,1601,1510,,,
42,1604,1509,,,
43,1605,1515,,,
44,1601,1518,,,
45,1602,1513,,,
46,1601,1521,,,
47,1602,1516,,,
48,1602,1513,,,
49,1603,1516,,,
50,1604,1508,,,
51,1606,1511,,,
52,1605,1514,,,
53,1600,1511,,,
54,1603,1509,,,
55,1602,1509,,,
56,1601,1512,,,
57,1603,1509,,,
58,1606,1511,,,
59,1603,1513,,,
60,1604,1525,,,
61,1603,1514,,,
62,1602,1512,,,
63,1601,1515,,,
64,1602,1514,,,
65,1872,1517,,,
66,1609,1519,,,
67,1609,1511,,,
68,1608,1514,,,
69,1609,1510,,,
70,1609,1508,,,
71,1608,1508,,,
72,1603,1507,,,
73,1604,1513,,,
74,1604,1784,,,
75,1604,1515,,,
76,1603,1517,,,
77,1602,1520,,,
78,1603,1511,,,
79,1602,1518,,,
80,1602,1517,,,
81,1601,1506,,,
82,1601,1507,,,
83,1605,1512,,,
84,1605,1506,,,
85,1602,1511,,,
86,1603,1509,,,
87,1603,1515,,,
88,1600,1510,,,
89,1606,1512,,,
90,1601,1509,,,
91,1602,1509,,,
92,1604,1506,,,
93,1608,1506,,,
94,1605,1518,,,
95,1601,1521,,,
96,1603,1515,,,
97,1602,1517,,,
98,1602,1513,,,
99,1604,1516,,,
100,1601,1515,,,
101,1602,1508,,,
102,1864,1510,,,
103,1612,1510,,,
104,1607,1508,,,
105,1613,1509,,,
106,1611,1510,,,
107,1609,1515,,,
108,1611,1509,,,
109,1600,1511,,,
110,1600,1508,,,
111,1604,1521,,,
112,1604,1512,,,
113,1603,1519,,,
114,1602,1514,,,
115,1603,1518,,,
116,1602,1517,,,
117,1603,1514,,,
118,1602,1509,,,
119,1601,1513,,,
120,1606,1513,,,
121,1605,1508,,,
122,1602,1508,,,
123,1604,1513,,,
124,1601,1504,,,
125,1605,1510,,,
126,1603,1511,,,
127,1602,1512,,,
128,1601,1511,,,
129,1604,1512,,,
130,1605,1510,,,
131,1603,1517,,,
132,1604,1514,,,
133,1602,1510,,,
134,1604,1516,,,
135,1601,1510,,,
136,1602,1511,,,
137,1604,1513,,,
138,1601,1506,,,
139,1608,1510,,,
140,1605,1504,,,
141,1603,1509,,,
142,1602,1509,,,
143,1602,1512,,,
144,1603,1508,,,
145,1604,1519,,,
146,1603,1516,,,
147,1601,1517,,,
148,1602,1517,,,
149,1881,1515,,,
150,1608,1509,,,
151,1608,1516,,,
152,1610,1507,,,
153,1608,1511,,,
154,1607,1509,,,
155,1606,1516,,,
156,1601,1509,,,
157,1602,1511,,,
158,1608,1506,,,
159,1603,1511,,,
160,1603,1507,,,
161,1602,1503,,,
162,1602,1507,,,
163,1603,1517,,,
164,1603,1511,,,
165,1602,1515,,,
166,1601,1516,,,
167,1604,1516,,,
168,1603,1516,,,
169,1604,1515,,,
170,1602,1505,,,
171,1601,1511,,,
172,1602,1504,,,
173,1604,1514,,,
174,1604,1507,,,
175,1603,1511,,,
176,1604,1509,,,
177,1606,1510,,,
178,1604,1506,,,
179,1604,1514,,,
