test_id,excTimeJava,excTimeCpp,,avgJava,avgCpp
1,705,614,,706,617
2,702,618,,,
3,710,615,,,
4,707,620,,,
5,712,619,,,
6,702,613,,,
7,702,614,,,
8,706,615,,,
9,710,621,,,
10,708,620,,,
11,703,613,,,
12,698,621,,,
13,707,617,,,
14,705,705,,,
15,707,650,,,
16,707,613,,,
17,706,620,,,
18,709,619,,,
19,705,619,,,
20,703,623,,,
21,705,619,,,
22,700,615,,,
23,709,615,,,
24,707,617,,,
25,705,613,,,
26,709,610,,,
27,704,615,,,
28,705,613,,,
29,702,617,,,
30,702,619,,,
31,698,615,,,
32,709,611,,,
33,701,617,,,
34,702,612,,,
35,703,617,,,
36,704,614,,,
37,707,617,,,
38,710,618,,,
39,699,621,,,
40,707,614,,,
41,698,619,,,
42,701,614,,,
43,704,618,,,
44,703,623,,,
45,701,614,,,
46,707,617,,,
47,707,624,,,
48,703,620,,,
49,701,617,,,
50,708,619,,,
51,692,617,,,
52,706,618,,,
53,703,615,,,
54,704,613,,,
55,701,623,,,
56,706,617,,,
57,712,614,,,
58,707,612,,,
59,703,612,,,
60,699,614,,,
61,712,619,,,
62,707,619,,,
63,709,615,,,
64,704,615,,,
65,701,616,,,
66,712,618,,,
67,701,626,,,
68,702,615,,,
69,707,619,,,
70,704,613,,,
71,707,623,,,
72,703,616,,,
73,701,613,,,
74,702,622,,,
75,700,613,,,
76,700,621,,,
77,708,617,,,
78,704,622,,,
79,702,613,,,
80,701,618,,,
81,705,623,,,
82,701,622,,,
83,710,614,,,
84,701,617,,,
85,705,626,,,
86,711,619,,,
87,705,614,,,
88,706,620,,,
89,712,618,,,
90,704,615,,,
91,707,622,,,
92,709,618,,,
93,710,617,,,
94,709,615,,,
95,701,622,,,
96,702,611,,,
97,699,623,,,
98,702,614,,,
99,700,620,,,
100,696,613,,,
101,706,613,,,
102,703,621,,,
103,702,614,,,
104,697,618,,,
105,703,618,,,
106,705,620,,,
107,701,622,,,
108,697,611,,,
109,700,615,,,
110,703,616,,,
111,707,616,,,
112,706,620,,,
113,702,616,,,
114,712,614,,,
115,702,612,,,
116,702,617,,,
117,703,619,,,
118,705,617,,,
119,703,618,,,
120,702,616,,,
121,709,613,,,
122,706,619,,,
123,711,629,,,
124,711,619,,,
125,705,615,,,
126,709,618,,,
127,706,620,,,
128,702,612,,,
129,708,610,,,
130,708,617,,,
131,716,620,,,
132,703,621,,,
133,709,615,,,
134,706,617,,,
135,702,616,,,
136,708,620,,,
137,696,619,,,
138,703,622,,,
139,705,621,,,
140,702,622,,,
141,708,624,,,
142,704,614,,,
143,702,622,,,
144,703,616,,,
145,704,617,,,
146,704,621,,,
147,699,621,,,
148,710,623,,,
149,700,616,,,
150,691,619,,,
151,706,619,,,
152,703,620,,,
153,708,613,,,
154,704,618,,,
155,710,616,,,
156,706,618,,,
157,704,621,,,
158,706,622,,,
159,704,618,,,
160,704,611,,,
161,697,613,,,
162,709,617,,,
163,707,608,,,
164,704,619,,,
165,700,616,,,
166,705,617,,,
167,697,616,,,
168,710,611,,,
169,697,616,,,
170,707,616,,,
171,707,621,,,
172,704,617,,,
173,703,617,,,
174,699,615,,,
175,705,617,,,
176,705,621,,,
177,705,615,,,
178,711,615,,,
179,710,616,,,
180,712,617,,,
181,714,615,,,
182,697,622,,,
183,701,619,,,
184,706,620,,,
185,703,621,,,
186,708,616,,,
187,706,617,,,
188,711,610,,,
189,706,614,,,
190,699,613,,,
191,705,614,,,
192,697,619,,,
193,697,621,,,
194,699,619,,,
195,704,618,,,
196,704,619,,,
197,702,622,,,
198,709,613,,,
199,706,616,,,
200,702,615,,,
201,697,617,,,
202,698,614,,,
203,701,618,,,
204,702,619,,,
205,702,615,,,
206,706,614,,,
207,697,619,,,
208,703,616,,,
209,705,609,,,
210,706,614,,,
211,711,617,,,
212,709,619,,,
213,703,614,,,
214,709,609,,,
215,698,618,,,
216,696,619,,,
217,705,617,,,
218,705,619,,,
219,711,616,,,
220,710,616,,,
221,697,622,,,
222,701,621,,,
223,704,614,,,
224,699,621,,,
225,704,615,,,
226,706,615,,,
227,705,619,,,
228,703,621,,,
229,708,620,,,
230,711,613,,,
231,707,618,,,
232,699,615,,,
233,700,611,,,
234,703,617,,,
