test_id,excTimeJava,excTimeCpp,,avgJava,avgCpp,,,,,,
1,834,702,,842,703,,,,,,
2,834,701,,,,,,,,,
3,833,703,,,,,,,,,
4,834,703,,,,,,,,,
5,834,702,,,,,,,,,
6,834,703,,,,,,,,,
7,833,700,,,,,,,,,
8,832,704,,,,,,,,,
9,834,702,,,,,,,,,
10,836,702,,,,,,,,,
11,835,702,,,,,,,,,
12,833,705,,,,,,,,,
13,835,703,,,,,,,,,
14,833,700,,,,,,,,,
15,843,703,,,,,,,,,
16,834,704,,,,,,,,,
17,835,702,,,,,,,,,
18,843,702,,,,,,,,,
19,834,704,,,,,,,,,
20,835,703,,,,,,,,,
21,835,701,,,,,,,,,
22,835,703,,,,,,,,,
23,837,701,,,,,,,,,
24,838,702,,,,,,,,,
25,838,702,,,,,,,,,
26,838,705,,,,,,,,,
27,839,702,,,,,,,,,
28,836,702,,,,,,,,,
29,850,703,,,,,,,,,
30,835,706,,,,,,,,,
31,834,704,,,,,,,,,
32,842,701,,,,,,,,,
33,834,701,,,,,,,,,
34,836,703,,,,,,,,,
35,837,702,,,,,,,,,
36,836,701,,,,,,,,,
37,837,702,,,,,,,,,
38,836,703,,,,,,,,,
39,843,701,,,,,,,,,
40,837,701,,,,,,,,,
41,837,699,,,,,,,,,
42,843,702,,,,,,,,,
43,837,705,,,,,,,,,
44,837,702,,,,,,,,,
45,837,705,,,,,,,,,
46,840,702,,,,,,,,,
47,838,703,,,,,,,,,
48,842,703,,,,,,,,,
49,840,702,,,,,,,,,
50,838,703,,,,,,,,,
51,840,701,,,,,,,,,
52,842,704,,,,,,,,,
53,843,702,,,,,,,,,
54,843,701,,,,,,,,,
55,839,704,,,,,,,,,
56,840,703,,,,,,,,,
57,839,704,,,,,,,,,
58,848,703,,,,,,,,,
59,839,703,,,,,,,,,
60,837,704,,,,,,,,,
61,840,703,,,,,,,,,
62,837,704,,,,,,,,,
63,837,702,,,,,,,,,
64,840,705,,,,,,,,,
65,837,704,,,,,,,,,
66,839,700,,,,,,,,,
67,836,703,,,,,,,,,
68,837,703,,,,,,,,,
69,840,702,,,,,,,,,
70,847,701,,,,,,,,,
71,841,702,,,,,,,,,
72,845,701,,,,,,,,,
73,837,702,,,,,,,,,
74,842,703,,,,,,,,,
75,842,701,,,,,,,,,
76,842,702,,,,,,,,,
77,835,704,,,,,,,,,
78,840,702,,,,,,,,,
79,861,703,,,,,,,,,
80,1112,701,,,,,,,,,
81,839,700,,,,,,,,,
82,839,702,,,,,,,,,
83,849,703,,,,,,,,,
84,836,702,,,,,,,,,
85,837,705,,,,,,,,,
86,838,703,,,,,,,,,
87,840,704,,,,,,,,,
88,838,702,,,,,,,,,
89,840,703,,,,,,,,,
90,839,701,,,,,,,,,
91,839,704,,,,,,,,,
92,845,702,,,,,,,,,
93,841,701,,,,,,,,,
94,837,705,,,,,,,,,
95,838,700,,,,,,,,,
96,849,700,,,,,,,,,
97,840,702,,,,,,,,,
98,835,704,,,,,,,,,
99,833,704,,,,,,,,,
100,835,701,,,,,,,,,
101,841,702,,,,,,,,,
102,841,702,,,,,,,,,
103,837,702,,,,,,,,,
104,836,703,,,,,,,,,
105,835,906,,,,,,,,,
106,837,706,,,,,,,,,
107,837,701,,,,,,,,,
108,839,701,,,,,,,,,
109,839,703,,,,,,,,,
110,839,704,,,,,,,,,
111,850,705,,,,,,,,,
112,838,703,,,,,,,,,
113,836,702,,,,,,,,,
114,845,705,,,,,,,,,
115,834,704,,,,,,,,,
116,834,704,,,,,,,,,
117,834,701,,,,,,,,,
118,840,704,,,,,,,,,
119,833,703,,,,,,,,,
120,834,700,,,,,,,,,
121,835,701,,,,,,,,,
122,835,701,,,,,,,,,
123,836,701,,,,,,,,,
124,837,703,,,,,,,,,
125,838,701,,,,,,,,,
126,836,701,,,,,,,,,
127,837,702,,,,,,,,,
128,839,704,,,,,,,,,
129,835,705,,,,,,,,,
130,838,704,,,,,,,,,
131,837,702,,,,,,,,,
132,843,703,,,,,,,,,
133,839,701,,,,,,,,,
134,838,701,,,,,,,,,
135,841,700,,,,,,,,,
136,839,702,,,,,,,,,
137,841,700,,,,,,,,,
138,845,701,,,,,,,,,
139,837,702,,,,,,,,,
140,844,705,,,,,,,,,
141,837,703,,,,,,,,,
142,838,702,,,,,,,,,
143,841,703,,,,,,,,,
144,873,701,,,,,,,,,
